,id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
0,4,4.420373972296561e-120,8.41769345802672e-194,6.836248057902649e-180,1.7686690049168006e-64,0.0,1.2579062824233133e-129,6.949899635866305e-175,1.2141718760366219e-163,2.17049519927475e-141,1.180195727298419e-283,1.4525496599583864e-110,6.973600635114724e-216,1.983708949973451e-166,6.943795487164364e-184,4.290099504135265e-208,1.5842978537724827e-211,1.0730984630267773e-149,6.063650383299585e-163,1.66465920928561e-159,1.1838252180170983e-229,9.465170927581194e-113,1.0354186833894786e-110,6.332780471162942e-102,3.357751357716351e-145,2.850339402708201e-163,8.671854987943637e-121,6.231647169532557e-86,1.1533658958781446e-106,3.4543075736266403e-119,1.467189982436588e-121,1.1819253632232392e-133,1.4036523647822912e-54,1.5741520102989285e-107,6.329429428853899e-103,5.742836856639676e-133,7.279221380443239e-234,3.2392909096193258e-133,2.7681259334216837e-154,2.4297387643516008e-147,3.7031369403402665e-121,4.788093679448684e-129,1.9198016461580493e-137,1.5227966981705772e-193,9.976104322732508e-119,1.59806442339795e-125,1.2919178718429232e-90,1.695344131892512e-57,3.17797260100937e-289,2.9490640334671155e-185,6.3902000113871225e-146,1.126332267495992e-95,1.0,1.882905554830659e-103,3.149387670692175e-104,2.55212990167586e-99,1.6317014346173704e-74,1.755152635244732e-61,5.322237971732369e-210,2.2869028907061924e-95,2.5905124330215938e-138,9.681666467214253e-162,5.585873534870282e-167,7.1892919321721665e-121,2.4520989731535932e-229,8.018972343056295e-86,2.2071491282539724e-117,1.601043404093878e-110,1.6647851421584715e-126,3.259342619820056e-103,1.2634076099503119e-89,7.7649805787327e-123,2.4348330578612267e-162,1.6428876086903093e-147,6.974385568031143e-143,1.0295164639484705e-100,9.683377178914706e-110,5.3924126896560125e-130,6.344084657975449e-85,5.8997176259840695e-121,2.4289242339695015e-101,7.915767047724946e-127,1.3960811685959445e-100,2.8759402403012553e-174,1.629609010354841e-59,6.989849633813841e-115,1.0181782521925155e-162,3.9352572558025392e-115,3.182301248650022e-136,8.159460813600965e-143,1.6137385807520208e-251,4.582952546036398e-113,8.228648223061572e-190,5.886467013660254e-130,2.0337791786424703e-134,2.7036822912261087e-115,9.260784622988995e-186,7.653081341282921e-126,4.978221933225424e-129,2.201339942096245e-156
1,7,2.1184608211392535e-124,7.860199717764838e-188,7.074454880303691e-117,1.3409528335078983e-53,0.0,8.337229558245238e-80,4.533044424918286e-54,1.138180800485924e-89,9.6049649910033e-100,4.5325630716215603e-215,4.408445015640654e-90,1.2693873215160535e-147,5.606031122600807e-168,2.0956002481839278e-111,1.0908139377369294e-156,3.356383135506318e-211,5.446222072920735e-150,6.533351488594712e-75,7.325687987019028e-130,7.59306657566309e-104,1.247843794833785e-99,2.7000570383762754e-120,8.707616596096853e-78,1.967317194447233e-95,6.672271040907536e-136,4.443879231600393e-78,9.844839860612843e-112,7.602468431463321e-135,4.2460107202830435e-73,1.0980694236033293e-100,7.514322153724834e-64,5.004977397383562e-84,5.6597830592783883e-123,1.2047850979163208e-112,1.0884372531056399e-99,6.462153145275065e-187,2.6093452004333297e-76,9.382194603443527e-129,4.86292266395752e-130,3.097330155916775e-67,9.602015862246737e-78,9.139894969919153e-162,5.905474860705253e-139,5.65420340495414e-75,3.656657240618386e-121,8.339176302932298e-100,2.2731345880650414e-137,4.179844751958733e-167,3.265525627583497e-129,2.90432553079657e-151,1.0,2.472350678051737e-108,1.1733528869928344e-55,3.699847430954961e-53,4.847966360346844e-51,9.770967591384828e-69,3.96809152377943e-100,1.1224711732960958e-161,3.639207380560493e-97,1.118767174725204e-90,3.5153335674809237e-116,4.171115618907728e-101,1.3512219754466995e-114,3.5547820262239315e-201,1.3508977289474495e-156,9.586777363257363e-110,1.4095482838176665e-111,1.0416945012717165e-77,3.995197009283107e-66,5.6442363237367464e-27,1.1002182932904419e-90,1.2651221234790208e-106,8.645392756872168e-161,1.6320828597187487e-63,9.733893043153131e-191,2.919320992442367e-160,1.3989007277510948e-65,9.843019367093466e-102,3.0539950234539437e-108,5.192703709543914e-74,5.0025814904214484e-71,5.620175995107966e-48,4.2744046256636056e-124,4.596697843346617e-62,8.520525766278494e-139,1.097805954384029e-155,2.0102928296182606e-39,1.3599327904377164e-66,7.933661488089958e-249,7.150622995106261e-204,4.578703688202845e-86,4.790631025446541e-175,2.5395226559257447e-93,3.82106166165033e-133,6.600408706199322e-76,1.327574973400338e-145,2.4258264501534278e-61,5.236648422845422e-169,5.592699963282908e-87
2,9,5.46637463080773e-128,1.0,4.780673371223064e-171,7.106357457599962e-104,1.7503113513979408e-108,4.5595679539266195e-148,3.593643291318704e-200,5.113707576950077e-103,1.8738552004243065e-79,6.657902040580289e-171,9.12498248074679e-103,1.9373127502687396e-102,5.044362649942794e-178,9.306026459315675e-139,4.455927317856272e-138,2.9697052111781726e-248,3.3913018365511574e-55,2.332406007681461e-157,1.9991128046972116e-187,2.6011722139341233e-171,2.609872513573964e-130,7.128110096435094e-154,8.099773516552312e-159,1.933876276891585e-203,2.900839100231818e-233,2.313772895033115e-156,6.01181556596278e-66,9.31818193958106e-214,1.8221507211419127e-155,4.170347484490865e-169,4.15764889521829e-149,3.833618846564778e-124,4.139779829310432e-133,7.915940235661609e-147,1.8342017549637892e-184,1.2764179480049907e-176,1.0426995820359155e-240,1.1164716107213944e-205,2.9070388910840933e-220,4.4834637325837233e-150,1.2508670668287707e-166,1.2712998914895821e-111,1.0704583394452122e-202,4.2500506981975525e-164,6.147843118354859e-156,3.1335937431062186e-174,1.5395678490343956e-188,3.23590830582346e-173,1.1470286144283188e-104,1.9638526698823252e-100,3.2371200281739127e-158,6.407456211116041e-167,2.4377329016748734e-142,3.388269981934903e-139,2.147206085548719e-143,5.156403689344695e-147,9.52332439496807e-131,1.5124312317500033e-230,8.672710099931724e-149,6.061920013526174e-237,1.222079188991881e-189,3.5985613364854793e-221,1.0334995461493391e-192,4.3464665756e-313,5.369412622063748e-192,1.631694058348095e-187,8.688093619551003e-151,9.856435216894833e-176,9.899270911216212e-148,9.837872151231055e-117,1.9223805087501304e-177,1.4444899743409417e-234,1.5019259838586102e-224,6.37070329632731e-101,4.576200289747653e-227,3.503479542931801e-184,2.1237590978793137e-166,2.937036881980676e-167,4.777731374428386e-218,1.5573646045304393e-154,3.26637903198731e-194,2.21992024989806e-140,2.3324007667105316e-273,7.010281158434243e-144,1.102386841966777e-216,2.3566348346257323e-87,5.063761381669539e-139,2.3061690671101385e-150,6.375691645839656e-291,8.973215614954682e-160,1.1109625000630846e-147,4.656798102332773e-215,5.754351653659398e-136,3.1892682846237854e-126,1.0003573345934694e-82,7.423783568655356e-104,8.098277634451586e-167,4.881042932267358e-239,1.0265675375825048e-90
3,12,2.919536425724103e-114,4.92672690154402e-62,1.805517561568327e-235,6.767674717377742e-102,9.426140264674066e-295,4.204322255024474e-182,1.7619672508546614e-181,2.1345776236351603e-119,6.801703478754188e-106,1.4082321961941787e-121,1.240589754121053e-124,4.601566002111594e-118,1.4370327954642168e-101,3.152833487494544e-61,1.7892337106660564e-147,1.0262889402847857e-260,5.207087828077726e-109,4.559704515033632e-130,4.615815328111438e-185,1.0,2.2228744350219135e-105,1.9463067063763383e-176,3.868264566568687e-150,1.27096111784183e-181,1.6382359028423615e-227,3.6862816737787195e-163,2.545881521097062e-78,1.412925023117868e-191,1.0578002681892129e-170,5.0050855176521107e-194,2.4758454135453484e-174,6.157105375858666e-148,8.173335796745387e-183,5.208735952538572e-180,1.9209540741458638e-216,8.2137596367375505e-280,7.008805782090651e-164,5.263007262621277e-218,1.5469546424905555e-240,1.568092037819429e-177,8.777529083529031e-184,1.5117942504466817e-83,3.473493664329246e-245,4.8196546919330323e-163,9.758949629562948e-183,7.4443315936766054e-180,1.1255890072637535e-179,1.3442405291614778e-54,8.721323559366065e-66,6.63735593880902e-160,2.0193315090545125e-104,3.512470842489394e-171,5.640339500811653e-140,4.545918700257794e-120,4.591738292106254e-101,6.927109363168965e-138,9.265989291597485e-166,1.0678416244142506e-297,7.17895788653573e-125,7.165734857520436e-167,9.842110714735107e-191,7.577404408794442e-201,7.144376795143097e-167,7.193511031126581e-264,5.431883309227649e-231,1.3689777784842805e-124,3.360205548138937e-188,7.120652248598558e-167,9.1038150849538e-135,1.360708404284821e-120,3.58959757908638e-163,1.063515102555352e-202,3.8845194648793284e-253,1.5259388379553518e-115,5.258689963906915e-202,5.1938351293282904e-195,1.72176244846636e-125,5.456064656537166e-146,1.1639693719778413e-188,2.5676440998698182e-166,3.7921280027205316e-141,4.608609350638463e-137,1.6090951252016684e-214,4.53165508216491e-146,2.607363301791076e-232,1.3601944781335763e-120,2.0802882142226097e-121,3.0805564349925436e-135,3e-323,6.7569115952260715e-205,7.947354807498426e-171,2.1557460117488615e-184,7.655617502268844e-144,2.8974950324399445e-132,6.774275363624145e-99,8.925231909179441e-76,2.1763607151577505e-169,1.122863664368214e-224,3.086507408663929e-68
4,13,2.740596453115939e-119,8.184205539260741e-170,1.0943753383222091e-217,2.7693450445971576e-150,0.0,8.070888406179679e-206,5.049202544462526e-194,9.986363561218646e-138,2.778723627716665e-77,7.380490279647349e-230,1.394348417424004e-130,1.8962426106387165e-66,7.889357018416865e-145,1.9426219555027575e-102,1.0,2.0678092421979333e-283,6.294546206659615e-103,1.4586663041204905e-140,7.043059979370357e-190,4.050041660267116e-206,3.812052914703603e-130,4.507959285942071e-226,1.172260258800491e-171,2.0829973757501176e-226,4.303235357259581e-257,1.4886814463090538e-209,1.0554560760148e-126,1.5613117766233316e-227,2.8129648934070743e-182,1.6004049611339869e-223,1.2406460155422446e-194,5.19523389049882e-180,7.212672167024701e-232,1.5530558109955877e-206,3.151948942377708e-215,1.5412352712551278e-224,2.9802275820222054e-234,7.8899413503918e-236,1.555530446208129e-233,5.350486101043923e-200,6.599716590717018e-216,3.74106497857907e-148,2.166752605765134e-219,2.766404862160432e-162,2.4328020907517335e-196,5.84447960109598e-205,5.161574594038967e-238,4.789791729863635e-190,1.5956373019018413e-110,1.3882231094466073e-110,2.539223006095927e-168,5.675114888313544e-224,3.015928486590086e-153,3.3863551300914652e-149,1.1408683077352202e-169,3.806607036344102e-186,1.5420416792295217e-220,1.1480387285899538e-285,3.9981049230241356e-160,2.0944558163588805e-240,6.585262237787184e-200,6.920709809368022e-239,5.025912417995976e-218,5.2245838611143325e-303,8.200814359828171e-253,1.003097960996854e-207,5.443255995047899e-180,1.8684530542055505e-193,4.711878662215181e-175,1.7885644587097593e-147,2.3286395747670695e-196,4.765706689255249e-233,3.517574710861505e-272,1.29103159168964e-160,3.435458128445179e-236,4.094001732211461e-242,6.359187468089824e-206,1.0209028971448014e-173,1.216067103490301e-242,2.307096399121972e-163,1.2388108946937594e-197,7.221745436695923e-161,3.453578624440888e-262,3.635381167984291e-156,3.334490907805575e-247,1.7195559479162303e-226,4.131936831387812e-161,6.344840037776071e-197,0.0,1.7954910624842784e-163,6.243323288767715e-178,3.3283360210047624e-176,1.0963893094317693e-155,4.8204431199518874e-104,1.0703361706965298e-101,1.0706905454290355e-81,2.191831278601469e-171,1.1471791868942826e-240,2.0869863948468316e-150
5,16,3.5822687278576805e-62,4.394456964933194e-148,3.455481557496267e-122,0.9999999894728139,0.0,5.298570392706734e-88,8.061435697401484e-120,6.7904647359956965e-71,5.973340127823191e-77,2.892222219127174e-266,2.220580115626264e-52,1.8578366708455208e-122,6.807056569395746e-73,1.288393597532801e-89,6.528243848101182e-116,3.2139667982578163e-146,2.887422108733299e-109,3.163916727400198e-66,2.4610581493916306e-99,7.764554866944788e-131,1.6123453824912648e-68,1.2892793047018813e-83,7.214544162586716e-48,5.033085080012859e-91,1.4733097219020144e-98,1.1451311678413621e-67,4.70331612935957e-51,4.2223743395634103e-94,7.433636252868546e-54,4.451714748694141e-68,7.304447283217015e-43,6.613718306386391e-44,2.821402859985481e-81,1.2854977152147186e-71,6.837348981413563e-73,2.585636621928349e-174,3.495885655428744e-91,4.045978737432985e-89,7.585549534632906e-93,1.2515047213548371e-58,2.197627621585894e-73,1.0585461751310008e-66,4.282633758264748e-87,9.624846779937409e-33,2.3237570795071933e-74,8.600918467670332e-54,7.07274402596692e-81,1.2494607702884033e-183,3.2054285131742225e-89,2.217331351058974e-71,2.618054269699138e-35,1.2368692306091974e-75,1.8386838097683255e-11,1.0047567106779134e-29,2.1229492261222536e-51,3.684109929469492e-26,6.560718756901943e-76,2.2850962241063043e-127,1.30122087839798e-39,1.3492073723701569e-111,1.8065543916529417e-107,1.0886370496047942e-114,2.185840408363025e-66,6.943746376597436e-195,2.5913194702116225e-137,1.203486811262469e-66,3.150821724446449e-76,4.060192975907327e-47,3.7162305728070434e-39,2.1813293044932605e-13,6.939100267330098e-60,1.2324645779617262e-119,8.343010577872296e-135,3.1400172436214125e-53,1.5845016689270814e-178,3.8950725156792097e-116,2.5433748052880637e-65,1.2462744521024736e-63,1.2745020282498484e-171,3.0267350194211732e-40,1.5101945020670864e-103,1.0111914959755839e-35,4.897519894186392e-143,2.5745070368321535e-28,5.73365070200442e-127,1.0550898044291711e-88,1.0508581052110285e-08,6.992455373946126e-60,4.575129767250828e-215,6.438020695302301e-146,1.5851632996189331e-58,1.4028186636962595e-120,1.3764327239554145e-71,1.044258951666336e-47,9.144221116912447e-32,1.0559114761767245e-109,6.804377108748387e-39,3.235630433354925e-108,1.304215129132258e-50
6,19,3.173231960041883e-47,9.860270098615718e-146,5.094281251669794e-111,1.0,0.0,4.561890531355066e-93,2.0812527849525368e-117,6.549638585634374e-95,1.0213554241682226e-74,2.0290500535861924e-249,4.376763320823609e-55,2.6763708787713814e-139,9.295257802515878e-80,4.611748790062945e-106,3.4406822117250495e-137,3.67321944531997e-145,5.069256113824009e-102,1.0199759121037539e-92,3.130252914064471e-111,1.546265889354028e-132,5.633814000967456e-64,8.185833498254384e-81,9.363304915470585e-53,3.5320479184616594e-93,2.8132079469052283e-103,1.28656497606942e-65,2.9969616459605794e-67,2.520436451352543e-93,8.705084032239907e-56,3.2134902388456913e-72,4.84756045833814e-59,5.083946544698606e-37,3.7099452737239036e-69,1.4929826044884158e-69,7.281017587268666e-87,3.1497218855596438e-170,1.6321089782935174e-84,8.493920603988974e-90,7.673344318962075e-86,1.3612486172786342e-60,1.7735476584349594e-74,1.9615820618768353e-70,3.4561720513323226e-116,3.416913520189854e-50,1.341771285822746e-93,4.748895360758338e-58,1.6441737727933053e-76,2.1975218597179362e-185,4.759441002405232e-98,3.7383694244213625e-89,8.605243604002563e-38,5.042176604941716e-73,4.138726427461226e-45,6.823739570368968e-49,2.556691980927173e-50,1.339787396262776e-46,5.694432270653897e-75,1.0037436289417746e-154,1.8610690454438646e-50,1.70106964592814e-115,2.7427969960779674e-101,4.270122095177015e-120,7.7382920873660025e-78,1.7917513278301867e-218,2.0320170919407463e-128,2.928533143903512e-43,3.571131297954938e-85,3.6152725554013517e-66,8.580427565589816e-44,8.9169011719251e-32,9.484524862008573e-71,6.38836548278412e-131,3.95086931241426e-148,1.1492591504606196e-68,1.8926312346524533e-171,2.2224711006231794e-118,3.094197565005117e-59,7.74862788578325e-74,1.9327805788858916e-178,6.71938668161643e-51,2.2415824986239182e-111,1.1345019188159423e-45,2.87041769690718e-156,2.9294249719167786e-53,4.0096157512704506e-135,4.397139040168771e-96,1.2625951203850595e-37,1.9879348162329522e-57,4.793853836221923e-210,1.7547497091602148e-156,1.9272113495113533e-63,1.0830478241619135e-112,7.157804931822017e-75,3.312000281552386e-69,5.2292265843102615e-33,1.6775297525436958e-118,2.6379618987299563e-58,2.9689864586967546e-116,1.9979976882186024e-51
7,23,2.1472529912680758e-128,2.3148550840834733e-184,9.743930333160112e-121,2.7106764408346323e-62,0.0,2.8185173250218285e-43,1.3180324052878405e-116,1.5162672098832494e-138,4.0388221939480325e-133,1.7265560017427206e-302,9.518406712930261e-105,1.7565995003656433e-178,4.858469446774461e-148,1.688596363212954e-154,3.443598017143342e-179,5.017592293547471e-89,4.857484767395694e-175,1.2369741324680134e-124,3.3280528240818182e-130,1.762251630543942e-197,1.3081226888286388e-108,7.804112475514985e-128,7.093650844256358e-68,3.545316805704149e-109,3.889882401308191e-130,1.5776269084731578e-83,1.2401274057159289e-116,6.901969881649974e-120,1.0,1.3134755092836204e-49,1.2936153966703202e-51,9.534094084015766e-82,2.026582460761429e-129,5.358186881446128e-100,9.700187365664429e-79,7.2522365188377e-172,9.190360914317278e-110,3.463535671372734e-76,1.1168387880250833e-83,2.596118386222855e-67,1.0057637869823333e-76,1.1280810064712227e-163,1.7659879416951012e-75,2.536733601998943e-87,8.796688744617274e-120,5.225954434396175e-115,1.1513377209663338e-156,7.412349112039056e-238,3.168420678295487e-169,1.7061148410574164e-140,1.0543055592702342e-84,2.533571880216885e-118,1.799415294297175e-80,9.238521478461058e-95,1.6367920862545703e-99,2.2939624172531076e-66,3.955518360421747e-105,1.5781340551884639e-152,8.095875596109046e-99,6.279330472064442e-149,2.190616908322236e-145,1.6761964267310456e-114,9.159833798448342e-92,2.3584385960700715e-215,1.5948075369053058e-180,4.169076935023136e-116,8.878774633107134e-68,7.971748542217328e-77,2.826554160095126e-86,1.7496672120759598e-56,1.1697495572128375e-72,3.11355877087981e-144,2.863404528879694e-163,1.1365122635286473e-83,1.018824878396028e-236,2.0267314183526603e-199,1.2855451417574172e-76,3.803072785258504e-96,7.567747011207567e-192,3.801818678871575e-77,5.281295983831393e-103,7.062115674527304e-59,1.9971448677118846e-177,2.978642435158625e-119,2.160693748152163e-161,1.8288862838193813e-162,9.037970687646492e-90,1.1073273993207717e-77,6.295564478659135e-218,3.0091441972674144e-199,1.24202938546615e-88,2.5210124457664734e-164,7.732998574138455e-109,5.6070702600313474e-108,1.9431971524793704e-103,4.316405977934514e-177,4.134432853138025e-73,6.481131700890258e-157,9.105049919746465e-106
8,24,1.319989778009286e-214,2.977763804476484e-277,9.09724678866655e-211,1.07667446203023e-184,0.0,5.048417254867873e-202,3.385653733837544e-261,2.7710135272959686e-248,2.6575141076131903e-182,0.0,8.060603740051574e-179,7.74663206994676e-301,0.0,6.582349404504175e-262,2.5484960702669784e-302,5.062950813e-315,2.553307218924709e-226,3.2969359365450698e-214,1.0997244672226643e-264,3.62097304e-315,1.791103820863368e-229,1.3741758471226645e-190,5.187360865465134e-230,7.546805235358186e-204,3.1055908736204796e-267,1.618636873016596e-206,9.781453371839299e-206,2.771836562638077e-196,2.683856511062308e-211,1.7797738132942947e-216,7.336568986694964e-204,4.1087434140052046e-158,7.398533128661865e-208,8.395318594223362e-219,4.5250298370395615e-191,0.0,1.519009054684829e-240,4.1838173706231484e-206,7.301969465819646e-218,1.2158303668335301e-157,8.882993049085574e-184,1.8182018906787635e-249,8.306961147834656e-260,2.3737299220873107e-222,1.0469654909210878e-217,7.599951661505982e-226,1.0695421367601589e-215,0.0,4.494267973266046e-277,5.471279672353105e-256,6.296808034608759e-201,1.240991306339692e-195,6.809017139720022e-201,1.3534399647832929e-240,2.2449212920941415e-194,6.3363397702243456e-195,4.695228880354884e-208,2.2279546705887608e-262,3.530802764897865e-207,2.516352078863241e-185,4.94231298751633e-271,6.943629439748877e-241,1.851009042595506e-245,1.84257e-319,1.5326894697137504e-214,1.0662871605248967e-250,5.073081414858739e-217,3.167183010885448e-218,1.0062990294915866e-199,8.265195261535044e-174,7.07262253803975e-192,2.1123681964142e-239,4.481203294123786e-161,3.831926141679651e-223,5.222839791244591e-270,5.59061521154217e-233,1.7509853768654064e-250,5.9731279400783384e-207,2.0599119760756285e-224,1.55945220196558e-200,4.755337828643623e-245,9.779979686182381e-193,6.78293634595368e-284,3.814965754684607e-163,1.0,4.237997610750865e-281,6.327568060499765e-210,2.1098211066846273e-232,0.0,5.6210706944421655e-301,2.7993666907669868e-223,4.2250823064230935e-288,2.2932321262886388e-215,2.8179820908574968e-251,4.461961606597252e-180,1.7246652255595005e-281,1.425799237712624e-189,5.832641881905657e-228,5.125021110328266e-242
9,28,1.5549522087395728e-69,3.952654015520677e-108,3.601323547661759e-144,1.9747133815899967e-74,1.8639295450762835e-294,4.987149152897407e-112,2.2151321860733313e-120,2.313447442452776e-59,1.0,4.396058949302147e-220,2.186647100088693e-60,3.7844143351082624e-80,2.356099237115511e-98,6.328093703873873e-113,5.704724266853076e-84,8.219065540061406e-214,7.283361111758041e-64,1.181837488590434e-94,5.245070906842007e-148,2.226309160329563e-134,2.592168746008242e-83,4.1097321111787904e-151,8.093200570525777e-131,5.304778837763523e-171,4.54770346716227e-198,1.4400521288152262e-149,1.6330759310969092e-79,1.8514769419448807e-179,4.5366222805795235e-129,1.8544703132971526e-139,2.726353532319527e-138,1.1368037042650396e-102,1.9940559130240102e-144,9.209569365430057e-112,3.3379183325807014e-140,6.2375469949176286e-183,5.176098850169049e-170,8.717142081110117e-181,2.097431131492525e-188,2.8877898145891824e-120,8.349351633753614e-128,1.212214666583682e-88,2.879348532186024e-166,2.5539131832943484e-137,1.3628292631569462e-131,4.459214272946293e-146,1.3412158514992752e-163,9.330393425184892e-143,1.5152891871409728e-78,1.2835453513423338e-95,1.001346446939422e-102,2.5162455740210316e-147,5.072209246766502e-113,2.9398589358044937e-97,7.413838936622398e-98,3.367787165946212e-85,4.139185420818681e-131,3.2712822235525806e-227,4.8219263398671154e-117,4.5716495967444534e-166,3.8284609970701643e-169,4.124622563740276e-167,1.0954268309581954e-157,3.0934158154249743e-263,4.6140365400837764e-166,3.884956392811009e-135,1.7996609584364967e-131,4.907784817810643e-147,1.3905014576387952e-104,7.783656438612135e-85,1.6064430386163703e-138,4.810607210514863e-195,1.7442682703390152e-187,1.8373551173104364e-98,4.57184362245864e-192,1.0064503626202798e-148,5.347763890664443e-125,6.985130459638095e-138,1.1518549327571657e-152,2.631822552967917e-122,5.92879705064478e-146,4.949761317577165e-102,6.339538378225357e-206,1.3862050775973388e-92,1.1535055342039165e-142,3.744410452404416e-141,9.897322485020209e-90,8.064803131536159e-123,1.488266925767251e-292,3.307940446814939e-137,1.451729747505106e-116,3.0837696235283713e-140,9.43776066515722e-92,1.2688398496676668e-67,1.3524030585321725e-25,1.7109286432207385e-73,4.2364444127887625e-144,1.0925656582237452e-205,1.6897144329395924e-95
