itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,41215,5,-260,-0.63,41266.0,14.1995,10741831,441008,51230
102110,1,TIGER 200,41040,5,-295,-0.71,41108.0,14.3556,1126933,46126,25629
252670,3,KODEX 200선물인버스2X,2215,2,30,1.37,2232.0,-27.0451,494560618,1103961,21893
153130,6,KODEX 단기채권,102725,5,-15,-0.01,102729.0,0.151,7549,775,19141
102780,2,KODEX 삼성그룹,9680,5,-120,-1.22,9709.0,9.01,363691,3505,16901
278540,1,KODEX MSCI Korea TR,13270,5,-70,-0.52,13272.0,13.5319,413628,5478,16282
122630,3,KODEX 레버리지,25250,5,-345,-1.35,25292.0,28.039,57182653,1434126,16211
278530,1,KODEX 200TR,13265,5,-85,-0.64,13277.0,14.3958,261775,3461,15122
310970,1,TIGER MSCI Korea TR,16675,5,-100,-0.6,16669.0,13.6902,2878,47,14657
273130,6,KODEX 종합채권(AA-이상)액티브,108775,5,-80,-0.07,108734.0,-1.2116,3175,344,14406
114800,3,KODEX 인버스,4030,2,25,0.62,4044.0,-13.7783,93707981,378961,12199
148020,1,KBSTAR 200,41305,5,-280,-0.67,41366.0,14.4677,489157,20157,11978
305720,2,KODEX 2차전지산업,17515,5,-635,-3.5,17515.0,28.4046,2544896,44167,11034
214980,6,KODEX 단기채권PLUS,102995,3,0,0.0,102993.0,0.175,2431,250,9953
233740,1,KODEX 코스닥150 레버리지,13120,5,-140,-1.06,13041.0,-9.7038,17951068,231252,9683
157450,6,TIGER 단기통안채,100105,5,-5,0.0,100108.0,0.12,1133,113,9201
139260,2,TIGER 200 IT,37810,5,-345,-0.9,37860.0,22.1741,327917,12281,8469
292150,2,TIGER TOP10,14475,5,-155,-1.06,14471.0,15.6064,506246,7251,8352
152100,1,ARIRANG 200,41490,5,-295,-0.71,41559.0,14.4543,184846,7656,7842
364980,2,TIGER KRX2차전지K-뉴딜,15200,5,-455,-2.91,15189.0,23.8528,1761821,26550,7790
305540,2,TIGER 2차전지테마,15755,5,-395,-2.45,15777.0,23.7547,1422775,22146,7484
105190,1,KINDEX 200,41445,5,-290,-0.69,41506.0,14.4365,342805,14178,7398
069660,1,KOSEF 200,41330,5,-295,-0.71,41386.0,14.4329,36676,1509,6282
133690,4,TIGER 미국나스닥100,63365,5,-345,-0.54,,4.2955,99035,6274,6273
371460,4,TIGER 차이나전기차SOLACTIVE,10295,5,-250,-2.37,,1.6385,2056917,21137,5951
293180,1,HANARO 200,41195,5,-295,-0.71,41261.0,14.3227,138156,5643,5850
294400,1,KOSEF 200TR,48170,5,-340,-0.7,48234.0,14.4778,10720,515,4672
295040,1,SMART 200TR,13800,5,-95,-0.68,13810.0,14.3621,14935,205,4595
314250,4,KODEX 미국FANG플러스(H),24775,5,-695,-2.73,,7.7411,433496,10635,4484
251340,3,KODEX 코스닥150선물인버스,4885,2,35,0.72,4930.0,2.1052,73959414,363978,4465
364960,2,TIGER KRX BBIG K-뉴딜,11765,5,-190,-1.59,11763.0,5.1913,895543,10452,4424
091180,2,KODEX 자동차,23030,5,-135,-0.58,23028.0,25.1147,287637,6571,4203
315930,2,KODEX Top5PlusTR,19630,3,0,0.0,19618.0,19.5857,6325,122,4044
229200,1,KODEX 코스닥 150,13570,5,-90,-0.66,13660.0,-4.0731,4826286,64914,3996
261220,5,KODEX WTI원유선물(H),9745,5,-350,-3.47,,46.0926,2105363,20578,3727
226490,1,KODEX 코스피,30395,5,-195,-0.64,30398.0,12.899,90324,2726,3617
251350,4,KODEX 선진국MSCI World,17475,2,300,1.75,,8.3938,535184,9289,3355
332500,1,KINDEX 200TR,24755,5,-95,-0.38,24730.0,14.358,4295,105,3218
357870,7,TIGER CD금리투자KIS(합성),50230,2,5,0.01,50229.0,0.1495,42125,2115,3147
192090,4,TIGER 차이나CSI300,11600,5,-95,-0.81,,6.183,357387,4140,2993
290130,2,KBSTAR ESG사회책임투자,13600,5,-105,-0.77,13606.0,16.9867,198747,2690,2978
332940,1,HANARO MSCI Korea TR,16660,5,-35,-0.21,16654.0,13.1864,60,0,2699
091170,2,KODEX 은행,7015,2,160,2.33,7032.0,11.1922,3462456,24256,2546
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),16810,5,-40,-0.24,,2.3693,100284,1679,2522
132030,5,KODEX 골드선물(H),11515,5,-105,-0.9,,-9.4311,271961,3123,2291
367770,2,KBSTAR Fn수소경제테마,12190,5,-215,-1.73,12227.0,14.7018,249108,3019,2267
232080,1,TIGER 코스닥150,13625,5,-125,-0.91,13733.0,-4.3811,270887,3693,2076
168580,4,KINDEX 중국본토CSI300,30800,5,-830,-2.62,,7.7683,44414,1382,2064
148070,6,KOSEF 국고채10년,120170,5,-230,-0.19,120132.0,-2.2958,7692,923,1959
245710,4,KINDEX 베트남VN30(합성),16940,2,105,0.62,,23.6049,443077,7419,1948
306540,6,HANARO 단기통안채,102970,3,0,0.0,102977.0,0.1215,0,0,1933
196230,6,KBSTAR 단기통안채,104325,2,5,0.0,104323.0,0.1632,579,60,1843
091160,2,KODEX 반도체,34305,5,-345,-1.0,34293.0,15.7894,362787,12271,1835
325020,2,KODEX 배당가치,12905,2,65,0.51,12894.0,14.2348,2006,25,1742
161510,2,ARIRANG 고배당주,11590,2,145,1.27,11591.0,10.4729,156733,1810,1742
302450,1,KBSTAR 코스피,30475,5,-235,-0.77,30489.0,13.8039,266,8,1722
278240,1,KBSTAR 코스닥150선물레버리지,13155,5,-240,-1.79,12991.0,-9.1865,85118,1102,1692
150460,2,TIGER 중국소비테마,8020,5,-30,-0.37,8026.0,12.1169,66213,528,1689
328370,1,ARIRANG 코스피TR,14860,5,-140,-0.93,14916.0,13.3786,50,0,1657
272580,6,TIGER 단기채권액티브,50060,3,0,0.0,50063.0,0.12,22491,1125,1645
270810,1,KBSTAR 코스닥150,13385,5,-110,-0.82,13459.0,-4.1889,23864,317,1625
332930,1,HANARO 200TR,48200,5,-355,-0.73,48273.0,14.4625,278,13,1615
190620,6,KINDEX 단기통안채,100205,5,-5,0.0,100205.0,0.1348,1500,150,1577
360750,4,TIGER 미국S&P500,11060,2,120,1.1,,8.899,232337,2567,1559
143850,4,TIGER 미국S&P500선물(H),44810,2,150,0.34,,4.2727,19492,873,1456
326240,2,KBSTAR IT플러스,20590,5,-230,-1.1,20586.0,16.0535,70042,1426,1454
138540,2,TIGER 현대차그룹+펀더멘털,26040,2,90,0.35,26061.0,23.6892,78159,2024,1344
371160,4,TIGER 차이나항셍테크,10270,5,-80,-0.77,,,595421,6085,1335
360200,4,KINDEX 미국S&P500,11125,2,120,1.09,,8.8633,150231,1670,1335
143860,2,TIGER 헬스케어,42470,5,-415,-0.97,42754.0,-17.0022,41294,1748,1317
176950,6,KODEX 국채선물10년인버스,47325,2,55,0.12,47310.0,2.8167,2888,136,1264
367380,4,KINDEX 미국나스닥100,10880,5,-40,-0.37,,4.0892,131307,1426,1251
204480,4,TIGER 차이나CSI300레버리지(합성),31170,5,-755,-2.36,,11.1207,118752,3700,1247
091230,2,TIGER 반도체,35135,5,-350,-0.99,35122.0,15.5298,103369,3581,1230
267770,3,TIGER 200선물레버리지,18910,5,-235,-1.23,18827.0,27.3785,818239,15354,1229
252710,3,TIGER 200선물인버스2X,2300,2,30,1.32,2311.0,-26.7742,9776084,22610,1210
144600,5,KODEX 은선물(H),5255,5,-50,-0.94,,2.9097,667429,3491,1203
139280,2,TIGER 경기방어,11890,5,-50,-0.42,11888.0,-4.7087,14260,168,1139
273140,6,KODEX 단기변동금리부채권액티브,102475,2,10,0.01,102474.0,0.171,99,10,1138
136340,6,KBSTAR 중기우량회사채,104985,5,-270,-0.26,105010.0,0.2524,1710,179,1134
130680,5,TIGER 원유선물Enhanced(H),2930,5,-100,-3.3,,47.0873,686508,2017,1103
361580,1,KBSTAR 200TR,20760,5,-130,-0.62,20773.0,14.4971,601,12,1100
298770,4,KODEX 한국대만IT프리미어,19440,5,-155,-0.79,,18.2202,85151,1644,1089
219480,4,KODEX 미국S&P500선물(H),18420,2,70,0.38,,4.1725,62286,1147,1068
368190,2,HANARO Fn K-뉴딜디지털플러스,12000,5,-240,-1.96,12004.0,5.7451,72093,859,1056
325010,2,KODEX Fn성장,17795,5,-210,-1.17,17767.0,9.3531,2751,48,1050
282000,3,KBSTAR 국고채3년선물인버스,100015,2,280,0.28,100027.0,0.3017,8,0,1031
372330,4,KODEX 차이나항셍테크,10280,5,-80,-0.77,,,651582,6723,1007
108450,2,KINDEX 삼성그룹섹터가중,15495,5,-135,-0.86,15492.0,7.312,6014,92,992
156080,1,KODEX MSCI Korea,19685,5,-150,-0.76,19727.0,13.3752,613,12,984
315960,2,KBSTAR 대형고배당10TR,17095,2,95,0.56,17090.0,18.5908,4042,68,983
283580,4,KODEX 중국본토CSI300,13990,5,-175,-1.24,,6.5037,40905,574,979
367760,2,KBSTAR Fn5G테크,10740,5,-75,-0.69,10738.0,-5.0066,100206,1064,977
376410,2,TIGER 탄소효율그린뉴딜,9710,5,-55,-0.56,9713.0,,108217,1044,971
272560,6,KBSTAR 단기국공채액티브,101890,2,20,0.02,101856.0,0.241,200,20,935
302190,6,TIGER 중장기국채,52105,5,-55,-0.11,52078.0,-1.4529,2411,125,917
225040,4,TIGER 미국S&P500레버리지(합성 H),25465,2,170,0.67,,7.501,24917,631,917
114260,6,KODEX 국고채3년,57840,5,-145,-0.25,57919.0,-0.1034,8316,481,902
195930,4,TIGER 유로스탁스50(합성 H),12675,2,295,2.38,,4.2526,46492,587,887
233160,1,TIGER 코스닥150 레버리지,13930,5,-205,-1.45,13831.0,-9.6517,839272,11556,822
245360,4,TIGER 차이나HSCEI,13030,5,-155,-1.18,,10.2609,25121,328,743
371470,4,TIGER 차이나바이오테크SOLACTIVE,10980,5,-20,-0.18,,10.0,121492,1310,720
292190,1,KODEX KRX300,18890,5,-165,-0.87,18950.0,12.8516,18305,346,718
364970,2,TIGER KRX바이오K-뉴딜,9805,5,-70,-0.71,9807.0,-21.252,221462,2166,711
182480,7,TIGER 미국MSCI리츠(합성 H),12780,2,205,1.63,,2.6865,25309,322,703
157490,2,TIGER 소프트웨어,15930,5,-265,-1.64,15929.0,15.39,84551,1337,679
195980,4,ARIRANG 신흥국MSCI(합성 H),12555,5,-215,-1.68,,6.9066,40449,507,673
102970,2,KODEX 증권,7530,5,-30,-0.4,7566.0,2.9271,177657,1338,636
174360,4,KBSTAR 중국본토대형주CSI100,21940,5,-380,-1.7,,8.3232,39737,875,636
114820,6,TIGER 국채3년,110520,5,-310,-0.28,110521.0,-0.1127,337,37,630
336160,6,KBSTAR 금융채액티브,102985,5,-245,-0.24,102963.0,0.0969,577,59,628
310960,1,TIGER 200TR,21610,5,-165,-0.76,21634.0,14.4546,2126,45,627
277630,1,TIGER 코스피,30370,5,-200,-0.65,30383.0,12.9544,11159,337,623
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),3985,5,-90,-2.21,,57.0327,639847,2544,618
329200,2,TIGER 부동산인프라고배당,5085,5,-15,-0.29,5100.0,6.1394,51331,260,613
123310,3,TIGER 인버스,4440,2,35,0.79,4459.0,-13.8808,1007052,4498,613
256750,4,KODEX 심천ChiNext(합성),11700,5,-340,-2.82,,5.7067,80813,952,608
261240,7,KODEX 미국달러선물,10110,2,65,0.65,10114.0,4.5809,178524,1803,608
266360,2,KODEX 미디어&엔터테인먼트,20600,5,-300,-1.44,20625.0,12.3353,14370,294,597
368590,4,KBSTAR 미국나스닥100,10535,5,-45,-0.43,,3.9803,704504,7440,579
363580,2,KODEX 200IT TR,14115,5,-165,-1.16,14167.0,22.1034,4789,67,579
266370,2,KODEX IT,20690,5,-190,-0.91,20692.0,15.6786,47400,973,559
289260,2,TIGER MSCI KOREA ESG리더스,11700,5,-75,-0.64,11702.0,14.3203,4757,55,551
117700,2,KODEX 건설,3075,2,15,0.49,3072.0,14.3925,250691,758,535
337140,2,KODEX 코스피대형주,14510,5,-90,-0.62,14513.0,13.9289,13840,200,522
137610,5,TIGER 농산물선물Enhanced(H),5715,5,-85,-1.47,,21.2121,66372,380,514
