Symbol,Name,Industry,IndustryCode
AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
AMZN,Amazon.com Inc,다양한 소매업,534020
FB,Facebook Inc Class A,소프트웨어 및 IT서비스,572010
GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
TSLA,Tesla Inc,자동차 및 자동차 부품,531010
NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
CMCSA,Comcast Corp Class A,미디어 및 출판,533020
INTC,Intel Corp,반도체 및 반도체 장비,571010
NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
PEP,PepsiCo Inc,음료,541010
TMUS,T-Mobile US Inc,통신 서비스,574010
TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
ZIONO,Zions Bancorporation NA ADR,은행,551010
JD,JD.Com Inc ADR,다양한 소매업,534020
COST,Costco Wholesale Corp,다양한 소매업,534020
AMGN,Amgen Inc,제약,562010
ZIONN,Zions Bancorporation NA ADR,은행,551010
AZN,AstraZeneca PLC ADR,제약,562010
SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
CHTR,Charter Communications Inc Class A,통신 서비스,574010
SNY,Sanofi SA ADR,제약,562010
ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
INTU,Intuit Inc,소프트웨어 및 IT서비스,572010
AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
MU,Micron Technology Inc,반도체 및 반도체 장비,571010
ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
FISV,Fiserv Inc,전문 및 상업 서비스,522030
MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
CME,CME Group Inc Class A,투자은행 및 서비스,551020
ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
CSX,CSX Corp,화물 및 물류 서비스,524050
ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
EQIX,Equinix Inc,주택 및 상업용 리츠,601020
MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
VOD,Vodafone Group PLC ADR,통신 서비스,574010
KHC,Kraft Heinz Co,식품 및 담배,541020
MNST,Monster Beverage Corp,음료,541010
KLAC,KLA Corp,반도체 및 반도체 장비,571010
ROKU,Roku Inc Class A,미디어 및 출판,533020
KDP,Keurig Dr Pepper Inc,음료,541010
IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
BIIB,Biogen Inc,제약,562010
WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
ROST,Ross Stores Inc,전문품 상점,534030
TROW,T. Rowe Price Group Inc,투자은행 및 서비스,551020
AEP,American Electric Power Company Inc,전기 유틸리티,591010
MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
EXC,Exelon Corp,전기 유틸리티,591010
LULU,Lululemon Athletica Inc,섬유 및 의류,532020
EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
ERIC,Telefonaktiebolaget LM Ericsson ADR,커뮤니케이션 및 네트워킹,571020
EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
CTAS,Cintas Corp,전문 및 상업 서비스,522030
CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
TSCAP,TriState Capital Holdings Inc ADR,은행,551010
DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
PAYX,Paychex Inc,전문 및 상업 서비스,522030
ALXN,Alexion Pharmaceuticals Inc,제약,562010
XEL,Xcel Energy Inc,전기 유틸리티,591010
ORLY,O'Reilly Automotive Inc,전문품 상점,534030
PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
PTON,Peloton Interactive Inc Class A,레저 상품,532050
XLNX,Xilinx Inc,반도체 및 반도체 장비,571010
WLTW,Willis Towers Watson PLC,보험,553010
SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
MRVL,Marvell Technology Group Ltd,반도체 및 반도체 장비,571010
BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
SIVB,SVB Financial Group,은행,551010
FITB,Fifth Third Bancorp,은행,551010
FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
RPRX,Royalty Pharma PLC Class A,제약,562010
ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
ETSY,ETSY Inc,다양한 소매업,534020
DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
CPRT,Copart Inc,전문품 상점,534030
DLTR,Dollar Tree Inc,다양한 소매업,534020
SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
